iter	Passed	Remaining
743	62769	21598
744	62868	21518
745	62973	21441
746	63169	21394
747	63257	21311
748	63346	21228
749	63434	21144
750	63524	21062
751	63624	20982
752	63691	20892
753	63772	20806
754	63843	20717
755	63924	20631
756	64007	20546
757	64082	20459
758	64158	20371
759	64241	20286
760	64314	20198
761	64528	20154
762	64609	20068
763	64678	19979
764	64757	19892
765	64871	19817
766	64953	19731
767	65039	19647
768	65137	19566
769	65266	19495
770	65352	19410
771	65426	19322
772	65522	19241
773	65608	19156
774	65685	19070
775	65769	18985
776	65848	18898
777	65913	18808
778	65985	18719
779	66057	18631
780	66131	18543
781	66251	18468
782	66354	18389
783	66433	18303
784	66552	18227
785	66678	18154
786	66767	18070
787	66840	17982
788	66912	17894
789	67018	17814
790	67154	17743
791	67229	17656
792	67303	17568
793	67399	17486
794	67516	17409
795	67601	17324
796	67695	17242
797	67769	17154
798	67845	17067
799	67929	16982
800	68014	16897
801	68101	16812
802	68181	16727
803	68249	16637
804	68402	16569
805	68483	16483
806	68565	16398
807	68659	16315
808	68762	16234
809	68841	16147
810	68925	16062
811	69011	15978
812	69104	15894
813	69184	15808
814	69273	15724
815	69413	15652
816	69563	15581
817	69681	15503
818	69759	15416
819	69828	15328
820	69904	15241
821	69987	15155
822	70087	15073
823	70157	14985
824	70229	14897
825	70299	14808
826	70376	14722
827	70459	14636
828	70541	14550
829	70642	14468
830	70718	14382
831	70790	14294
832	70871	14208
833	70941	14120
834	71054	14040
835	71136	13954
836	71223	13870
837	71310	13785
838	71419	13704
839	71505	13620
840	71638	13543
841	71712	13456
842	71815	13374
843	71892	13288
844	71965	13200
845	72042	13114
846	72145	13032
847	72220	12945
848	72338	12865
849	72413	12778
850	72538	12700
851	72615	12613
852	72690	12527
853	72771	12440
854	72848	12354
855	72921	12267
856	73003	12181
857	73077	12094
858	73161	12009
859	73234	11921
860	73305	11834
861	73395	11750
862	73463	11662
863	73534	11574
864	73614	11488
865	73686	11401
866	73788	11319
867	73878	11234
868	73948	11147
869	74030	11061
870	74108	10975
871	74195	10891
872	74281	10806
873	74351	10718
874	74428	10632
875	74515	10547
876	74609	10464
877	74691	10378
878	74781	10294
879	74908	10214
880	75015	10132
881	75111	10048
882	75181	9961
883	75286	9879
884	75354	9791
885	75436	9706
886	75515	9620
887	75615	9537
888	75693	9451
889	75768	9364
890	75857	9280
891	75966	9197
892	76068	9114
893	76145	9028
894	76216	8941
895	76294	8855
896	76398	8772
897	76472	8686
898	76544	8599
899	76629	8514
900	76714	8429
